STCN;Biografisch Portaal;Note
http://stcn.data2semantics.org/resource/auteur/068380801;http://www.biografischportaal.nl/persoon/70745985;Match for year 1713
http://stcn.data2semantics.org/resource/auteur/068381700;http://www.biografischportaal.nl/persoon/93759553;Match for year 1653
http://stcn.data2semantics.org/resource/auteur/068386346;http://www.biografischportaal.nl/persoon/49300197;Match for year 1626
http://stcn.data2semantics.org/resource/auteur/068387059;http://www.biografischportaal.nl/persoon/68728907;Match for year 1730
http://stcn.data2semantics.org/resource/auteur/068388543;http://www.biografischportaal.nl/persoon/64070160;Match for year 1482
http://stcn.data2semantics.org/resource/auteur/06838856X;http://www.biografischportaal.nl/persoon/15784981;Match for year 1647
http://stcn.data2semantics.org/resource/auteur/068388608;http://www.biografischportaal.nl/persoon/62197437;Match for year 1751
http://stcn.data2semantics.org/resource/auteur/068388616;http://www.biografischportaal.nl/persoon/43413086;Match for year 1683
http://stcn.data2semantics.org/resource/auteur/068388616;http://www.biografischportaal.nl/persoon/64240006;Match for year 1683
http://stcn.data2semantics.org/resource/auteur/068389523;http://www.biografischportaal.nl/persoon/11766271;Match for year 1743
http://stcn.data2semantics.org/resource/auteur/068390459;http://www.biografischportaal.nl/persoon/89319444;Match for year 1763
http://stcn.data2semantics.org/resource/auteur/068392737;http://www.biografischportaal.nl/persoon/40448531;Match for year 1579
http://stcn.data2semantics.org/resource/auteur/068392834;http://www.biografischportaal.nl/persoon/21499312;Match for year 1510
http://stcn.data2semantics.org/resource/auteur/068393547;http://www.biografischportaal.nl/persoon/05339746;Match for year 1762
http://stcn.data2semantics.org/resource/auteur/068401817;http://www.biografischportaal.nl/persoon/54891166;Match for year 1546
http://stcn.data2semantics.org/resource/auteur/068403070;http://www.biografischportaal.nl/persoon/19366759;Match for year 1585
http://stcn.data2semantics.org/resource/auteur/06840428X;http://www.biografischportaal.nl/persoon/79682841;Match for year 1569
http://stcn.data2semantics.org/resource/auteur/068404352;http://www.biografischportaal.nl/persoon/33158412;Match for year 1668
http://stcn.data2semantics.org/resource/auteur/068405456;http://www.biografischportaal.nl/persoon/89948383;Match for year 1702
http://stcn.data2semantics.org/resource/auteur/068405588;http://www.biografischportaal.nl/persoon/49636733;Match for year 1705
http://stcn.data2semantics.org/resource/auteur/068407017;http://www.biografischportaal.nl/persoon/32064147;Match for year 1583
http://stcn.data2semantics.org/resource/auteur/068408307;http://www.biografischportaal.nl/persoon/64304595;Match for year 1659
http://stcn.data2semantics.org/resource/auteur/068409907;http://www.biografischportaal.nl/persoon/55199730;Match for year 1677
http://stcn.data2semantics.org/resource/auteur/068410069;http://www.biografischportaal.nl/persoon/06967398;Match for year 1757
http://stcn.data2semantics.org/resource/auteur/068410115;http://www.biografischportaal.nl/persoon/81138977;Match for year 1698
http://stcn.data2semantics.org/resource/auteur/068410158;http://www.biografischportaal.nl/persoon/66959774;Match for year 1772
http://stcn.data2semantics.org/resource/auteur/068410298;http://www.biografischportaal.nl/persoon/17450990;Match for year 1593
http://stcn.data2semantics.org/resource/auteur/068410999;http://www.biografischportaal.nl/persoon/96522528;Match for year 1697
http://stcn.data2semantics.org/resource/auteur/068412495;http://www.biografischportaal.nl/persoon/01083339;Match for year 1649
http://stcn.data2semantics.org/resource/auteur/068412789;http://www.biografischportaal.nl/persoon/38490569;Match for year 1709
http://stcn.data2semantics.org/resource/auteur/068412959;http://www.biografischportaal.nl/persoon/72801723;Match for year 1622
http://stcn.data2semantics.org/resource/auteur/06841305X;http://www.biografischportaal.nl/persoon/28364479;Match for year 1381
http://stcn.data2semantics.org/resource/auteur/068413084;http://www.biografischportaal.nl/persoon/82848235;Match for year 1568
http://stcn.data2semantics.org/resource/auteur/068414358;http://www.biografischportaal.nl/persoon/71983085;Match for year 1674
http://stcn.data2semantics.org/resource/auteur/068414811;http://www.biografischportaal.nl/persoon/81206775;Match for year 1686
http://stcn.data2semantics.org/resource/auteur/068414943;http://www.biografischportaal.nl/persoon/61365214;Match for year 1663
http://stcn.data2semantics.org/resource/auteur/068415486;http://www.biografischportaal.nl/persoon/95056176;Match for year 1605
http://stcn.data2semantics.org/resource/auteur/068416814;http://www.biografischportaal.nl/persoon/14633534;Match for year 1742
http://stcn.data2semantics.org/resource/auteur/06841689X;http://www.biografischportaal.nl/persoon/04214235;Match for year 1662
http://stcn.data2semantics.org/resource/auteur/068416911;http://www.biografischportaal.nl/persoon/64587723;Match for year 1756
http://stcn.data2semantics.org/resource/auteur/068416954;http://www.biografischportaal.nl/persoon/16365121;Match for year 1729
http://stcn.data2semantics.org/resource/auteur/068416970;http://www.biografischportaal.nl/persoon/55182738;Match for year 1611
http://stcn.data2semantics.org/resource/auteur/068417586;http://www.biografischportaal.nl/persoon/24995394;Match for year 1687
http://stcn.data2semantics.org/resource/auteur/06841773X;http://www.biografischportaal.nl/persoon/27345878;Match for year 1706
http://stcn.data2semantics.org/resource/auteur/068417748;http://www.biografischportaal.nl/persoon/13596556;Match for year 1568
http://stcn.data2semantics.org/resource/auteur/068417926;http://www.biografischportaal.nl/persoon/19617915;Match for year 1745
http://stcn.data2semantics.org/resource/auteur/068418299;http://www.biografischportaal.nl/persoon/12963949;Match for year 1741
http://stcn.data2semantics.org/resource/auteur/068418469;http://www.biografischportaal.nl/persoon/68787878;Match for year 1681
